Country_Dependency,wikiCountry
China,China
India,India
United States,United States
Indonesia,Indonesia
Pakistan,Pakistan
Nigeria,Nigeria
Brazil,Brazil
Bangladesh,Bangladesh
Russian Federation,Russia
Mexico,Mexico
Japan,Japan
Philippines,Philippines
Ethiopia,Ethiopia
"Egypt, Arab Rep.",Egypt
Vietnam,Vietnam
"Congo, Dem. Rep.",DR Congo
Turkiye,Turkey
Germany,Germany
"Iran, Islamic Rep.",Iran
Thailand,Thailand
France,France
United Kingdom,United Kingdom
South Africa,South Africa
Tanzania,Tanzania
Italy,Italy
Myanmar,Myanmar
Colombia,Colombia
Kenya,Kenya
"Korea, Rep.",South Korea
Spain,Spain
Argentina,Argentina
Algeria,Algeria
Iraq,Iraq
Uganda,Uganda
Sudan,Sudan
Ukraine,Ukraine
Canada,Canada
Poland,Poland
Morocco,Morocco
Uzbekistan,Uzbekistan
Afghanistan,Afghanistan
Peru,Peru
Malaysia,Malaysia
Angola,Angola
Mozambique,Mozambique
Saudi Arabia,Saudi Arabia
"Yemen, Rep.",Yemen
Ghana,Ghana
Cote D'Ivoire,Ivory Coast
Nepal,Nepal
"Venezuela, Rb",Venezuela
Cameroon,Cameroon
Madagascar,Madagascar
Australia,Australia
"Korea, Dem. People'S Rep.",North Korea
Niger,Niger
Taiwan,Taiwan
Syrian Arab Republic,Syria
Mali,Mali
Burkina Faso,Burkina Faso
Sri Lanka,Sri Lanka
Malawi,Malawi
Kazakhstan,Kazakhstan
Chile,Chile
Zambia,Zambia
Romania,Romania
Senegal,Senegal
Somalia,Somalia
Guatemala,Guatemala
Netherlands,Netherlands
Chad,Chad
Cambodia,Cambodia
Ecuador,Ecuador
Zimbabwe,Zimbabwe
Guinea,Guinea
South Sudan,South Sudan
Rwanda,Rwanda
Burundi,Burundi
Benin,Benin
Bolivia,Bolivia
Tunisia,Tunisia
Papua New Guinea,Papua New Guinea
Belgium,Belgium
Haiti,Haiti
Jordan,Jordan
Cuba,Cuba
Czechia,Czech Republic
Dominican Republic,Dominican Republic
Sweden,Sweden
Greece,Greece
Portugal,Portugal
Azerbaijan,Azerbaijan
Tajikistan,Tajikistan
Israel,Israel
Honduras,Honduras
Hungary,Hungary
United Arab Emirates,United Arab Emirates
Belarus,Belarus
Austria,Austria
Switzerland,Switzerland
Sierra Leone,Sierra Leone
Togo,Togo
"Hong Kong Sar, China",Hong Kong (China)
Lao Pdr,Laos
Kyrgyz Republic,Kyrgyzstan
Turkmenistan,Turkmenistan
Libya,Libya
El Salvador,El Salvador
Nicaragua,Nicaragua
Serbia,Serbia
Bulgaria,Bulgaria
Paraguay,Paraguay
"Congo, Rep.",Congo
Denmark,Denmark
Singapore,Singapore
Central African Republic,Central African Republic
Finland,Finland
Norway,Norway
Lebanon,Lebanon
West Bank And Gaza,Palestine
Slovak Republic,Slovakia
Ireland,Ireland
Costa Rica,Costa Rica
Liberia,Liberia
New Zealand,New Zealand
Oman,Oman
Kuwait,Kuwait
Mauritania,Mauritania
Panama,Panama
Croatia,Croatia
Eritrea,Eritrea
Georgia,Georgia
Uruguay,Uruguay
Mongolia,Mongolia
Bosnia And Herzegovina,Bosnia and Herzegovina
Puerto Rico,Puerto Rico (US)
Armenia,Armenia
Lithuania,Lithuania
Jamaica,Jamaica
Albania,Albania
Qatar,Qatar
Namibia,Namibia
Moldova,Moldova
"Gambia, The",Gambia
Botswana,Botswana
Lesotho,Lesotho
Gabon,Gabon
Slovenia,Slovenia
Latvia,Latvia
North Macedonia,North Macedonia
Guinea-Bissau,Guinea-Bissau
Kosovo,Kosovo
Bahrain,Bahrain
Equatorial Guinea,Equatorial Guinea
Estonia,Estonia
Trinidad And Tobago,Trinidad and Tobago
Timor-Leste,East Timor
Mauritius,Mauritius
Eswatini,Eswatini
Djibouti,Djibouti
Cyprus,Cyprus
Fiji,Fiji
Bhutan,Bhutan
Comoros,Comoros
Guyana,Guyana
Solomon Islands,Solomon Islands
"Macao Sar, China",Macau (China)
Luxembourg,Luxembourg
Montenegro,Montenegro
Suriname,Suriname
Western Sahara,Western Sahara
Malta,Malta
Cabo Verde,Cape Verde
Brunei Darussalam,Brunei
Belize,Belize
"Bahamas, The",Bahamas
Iceland,Iceland
Northern Cyprus,Northern Cyprus
Maldives,Maldives
Transnistria,Transnistria
Vanuatu,Vanuatu
French Polynesia,French Polynesia (France)
New Caledonia,New Caledonia (France)
Barbados,Barbados
Abkhazia,Abkhazia
Sao Tome And Principe,São Tomé and Príncipe
Samoa,Samoa
St. Lucia,Saint Lucia
Guam,Guam (US)
Curacao,Curacao (Netherlands)
Artsakh,Artsakh
Kiribati,Kiribati
Grenada,Grenada
St. Vincent And The Grenadines,Saint Vincent and the Grenadines
